id,questionName,questionURL,acceptancePercentage,difficultyLevel,questionTags
1,1. Two Sum,https://leetcode.com/problems/two-sum/,49.10%,Easy,"Array, Hash Table"
2,2. Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,39.60%,Medium,"Linked List, Math, Recursion"
3,3. Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,33.70%,Medium,"Hash Table, String, Sliding Window"
4,4. Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,35.10%,Hard,"Array, Binary Search, Divide and Conquer"
5,5. Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,32.40%,Medium,"String, Dynamic Programming"
6,6. Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,42.90%,Medium,String
7,7. Reverse Integer,https://leetcode.com/problems/reverse-integer/,27.20%,Medium,Math
8,8. String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,16.60%,Medium,String
9,9. Palindrome Number,https://leetcode.com/problems/palindrome-number/,52.80%,Easy,Math
10,10. Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,28.20%,Hard,"String, Dynamic Programming, Recursion"
11,11. Container With Most Water,https://leetcode.com/problems/container-with-most-water/,54.30%,Medium,"Array, Two Pointers, Greedy"
12,12. Integer to Roman,https://leetcode.com/problems/integer-to-roman/,60.40%,Medium,"Hash Table, Math, String"
13,13. Roman to Integer,https://leetcode.com/problems/roman-to-integer/,58.20%,Easy,"Hash Table, Math, String"
14,14. Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,40.70%,Easy,String
15,15. 3Sum,https://leetcode.com/problems/3sum/,32.20%,Medium,"Array, Two Pointers, Sorting"
16,16. 3Sum Closest,https://leetcode.com/problems/3sum-closest/,46.20%,Medium,"Array, Two Pointers, Sorting"
17,17. Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,55.50%,Medium,"Hash Table, String, Backtracking"
18,18. 4Sum,https://leetcode.com/problems/4sum/,36.60%,Medium,"Array, Two Pointers, Sorting"
19,19. Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,39.80%,Medium,"Linked List, Two Pointers"
20,20. Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,40.70%,Easy,"String, Stack"
21,21. Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,61.70%,Easy,"Linked List, Recursion"
22,22. Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,71.70%,Medium,"String, Dynamic Programming, Backtracking"
23,23. Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,48.30%,Hard,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort"
24,24. Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,60.20%,Medium,"Linked List, Recursion"
25,25. Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,53.30%,Hard,"Linked List, Recursion"
26,26. Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,50.20%,Easy,"Array, Two Pointers"
27,27. Remove Element,https://leetcode.com/problems/remove-element/,52.00%,Easy,"Array, Two Pointers"
28,28. Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,37.40%,Medium,"Two Pointers, String, String Matching"
29,29. Divide Two Integers,https://leetcode.com/problems/divide-two-integers/,17.40%,Medium,"Math, Bit Manipulation"
30,30. Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,30.80%,Hard,"Hash Table, String, Sliding Window"
31,31. Next Permutation,https://leetcode.com/problems/next-permutation/,37.00%,Medium,"Array, Two Pointers"
32,32. Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,32.60%,Hard,"String, Dynamic Programming, Stack"
33,33. Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,38.60%,Medium,"Array, Binary Search"
34,34. Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,41.50%,Medium,"Array, Binary Search"
35,35. Search Insert Position,https://leetcode.com/problems/search-insert-position/,42.00%,Easy,"Array, Binary Search"
36,36. Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,56.70%,Medium,"Array, Hash Table, Matrix"
37,37. Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,56.50%,Hard,"Array, Backtracking, Matrix"
38,38. Count and Say,https://leetcode.com/problems/count-and-say/,49.70%,Medium,String
39,39. Combination Sum,https://leetcode.com/problems/combination-sum/,67.50%,Medium,"Array, Backtracking"
40,40. Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,53.20%,Medium,"Array, Backtracking"
41,41. First Missing Positive,https://leetcode.com/problems/first-missing-positive/,36.50%,Hard,"Array, Hash Table"
42,42. Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,58.70%,Hard,"Array, Two Pointers, Dynamic Programming, Stack, Monotonic Stack"
43,43. Multiply Strings,https://leetcode.com/problems/multiply-strings/,38.70%,Medium,"Math, String, Simulation"
44,44. Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,26.80%,Hard,"String, Dynamic Programming, Greedy, Recursion"
45,45. Jump Game II,https://leetcode.com/problems/jump-game-ii/,38.50%,Medium,"Array, Dynamic Programming, Greedy"
46,46. Permutations,https://leetcode.com/problems/permutations/,74.50%,Medium,"Array, Backtracking"
47,47. Permutations II,https://leetcode.com/problems/permutations-ii/,56.60%,Medium,"Array, Backtracking"
48,48. Rotate Image,https://leetcode.com/problems/rotate-image/,69.70%,Medium,"Array, Math, Matrix"
49,49. Group Anagrams,https://leetcode.com/problems/group-anagrams/,65.80%,Medium,"Array, Hash Table, String, Sorting"
50,"50. Pow(x, n)",https://leetcode.com/problems/powx-n/,32.80%,Medium,"Math, Recursion"
51,51. N-Queens,https://leetcode.com/problems/n-queens/,62.70%,Hard,"Array, Backtracking"
52,52. N-Queens II,https://leetcode.com/problems/n-queens-ii/,70.80%,Hard,Backtracking
53,53. Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,50.00%,Medium,"Array, Divide and Conquer, Dynamic Programming"
